Numero de prueba;Periodo ;Velocidad;Temperatura;Total 
1;3,3865235;18,5493774;26,19;48,1259009
2;3,3856459;18,5354557;26,19;48,1111016
3;3,3863602;18,5076542;26,18;48,0740144
4;3,386519;18,5038357;26,18;48,0703547
5;3,3869643;18,5022755;26,16;48,0492398
6;3,3861065;18,4893646;26,16;48,0354711
7;3,3870173;18,4944248;26,16;48,0414421
8;3,3856494;18,4584923;26,16;48,0041417
9;3,386683;18,4565983;26,16;48,0032813
10;3,3869731;18,4445934;26,17;48,0015665
11;3,3856392;18,4311714;26,16;47,9768106
12;3,3864672;18,406517;26,18;47,9729842
13;3,38638;18,3867607;26,18;47,9531407
14;3,3868513;18,4218922;26,2;48,0087435
15;3,3866062;18,380785;26,18;47,9473912
16;3,3860865;18,3983498;26,2;47,9844363
17;3,3862724;18,3623028;26,19;47,9385752
18;3,3867543;18,369194;26,19;47,9459483
19;3,3865116;18,3543911;26,18;47,9209027
20;3,3860617;18,3253288;26,19;47,9013905
21;3,3862228;18,3101044;26,18;47,8763272
22;3,3864398;18,3036938;26,16;47,8501336
23;3,3870077;18,3020115;26,17;47,8590192
24;3,3862782;18,2990608;26,16;47,845339
25;3,3858643;18,2955189;26,18;47,8613832
26;3,3867197;18,2692795;26,19;47,8459992
27;3,3864965;18,2551517;26,19;47,8316482
28;3,3866787;18,2507668;26,19;47,8274455
29;3,3859215;18,2313995;26,18;47,797321
30;3,3864841;18,2157497;26,19;47,7922338
31;3,3867266;18,2183628;26,19;47,7950894
32;3,3866019;18,2051449;26,19;47,7817468
33;3,3864274;18,1886997;26,18;47,7551271
34;3,3859086;18,2022266;26,2;47,7881352
35;3,3870306;18,225111;26,23;47,8421416
36;3,3862524;18,1564713;26,25;47,7927237
37;3,3864288;18,1740646;26,26;47,8204934
38;3,3858595;18,1338558;26,25;47,7697153
39;3,3864198;18,1213646;26,25;47,7577844
40;3,3867543;18,1158466;26,24;47,7426009
41;3,3866889;18,1324463;26,25;47,7691352
42;3,3863289;18,1070347;26,23;47,7233636
43;3,3860836;18,0851784;26,24;47,711262
44;3,386806;18,0929909;26,24;47,7197969
45;3,3865845;18,087862;26,21;47,6844465
46;3,3859169;18,0609035;26,23;47,6768204
47;3,3864937;18,0419178;26,22;47,6484115
48;3,3862205;18,024807;26,22;47,6310275
49;3,3870311;18,0281925;26,23;47,6452236
50;3,3860521;18,0106735;26,23;47,6267256
51;3,3870314;18,0411864;26,23;47,6582178
52;3,3860521;18,0106735;26,23;47,6267256
53;3,3870314;18,0411864;26,23;47,6582178
54;3,3870311;18,0281925;26,23;47,6452236
55;3,3860521;18,0106735;26,23;47,6267256
56;3,3870314;18,0411864;26,23;47,6582178
57;3,3860521;18,0106734;26,23;47,6267255
58;3,3870314;18,0411869;26,23;47,6582183
59;3,3870311;18,0281925;26,23;47,6452236
60;3,3860521;18,0106735;26,23;47,6267256
61;3,3870314;18,0411864;26,23;47,6582178
62;3,3860521;18,0106735;26,23;47,6267256
63;3,3870314;18,0411864;26,23;47,6582178
64;3,3870314;18,0411864;26,23;47,6582178
